2019-03-18 10:01:04,b'Airlines worried about buying from Boeing have another supplier besides Airbus to choose from: the Chinese governme\xe2\x80\xa6 https://t.co/8c9eIkI0na'
2019-03-18 10:00:57,b'Three countries ground Boeing 737 Max 8 jets in wake of deadly crash https://t.co/0rAG5Rw5J3 https://t.co/K6lCw9eQbN'
2019-03-18 10:00:52,b'Boeing says it is finalizing software update of its 737 MAX\xc2\xa08 https://t.co/dEAuODNxoD https://t.co/wR53Gtag5E'
2019-03-18 10:00:27,b'Boeing says it is finalizing software update of its 737 MAX\xc2\xa08 https://t.co/MuApHexWcM https://t.co/2W2oHntphQ'
2019-03-18 10:00:18,b'Are you still willing to travel in the Boeing Max 737 Max 8 after the crashes?\n#TheTouristFiles #Boeing #Ethiopia\xe2\x80\xa6 https://t.co/7F6aHXlQWk'
2019-03-18 09:58:45,b'RT @AFP: VIDEO: Similarities between the Lion Air and Ethiopian Airlines crashes have focused attention on an anti-stalling system used in\xe2\x80\xa6'
2019-03-18 09:58:42,"b'FAA grounds Boeing 737 Max 8, 737 Max 9 planes following deadly Ethiopian Airlines crash | Fox News\nhttps://t.co/iPY70hYA8p'"
2019-03-18 09:57:42,"b'RT @CNN: The Chinese government has grounded all Boeing 737 MAX 8 jets, after an Ethiopian Airlines plane of the same model crashed shortly\xe2\x80\xa6'"
2019-03-18 09:56:44,b'RT @transportworker: President Samuelsen asserts there is an incestuous relationship between the @FAANews and the airline industry which is\xe2\x80\xa6'
2019-03-18 09:54:59,b'RT @javimorgado: Breaking news: @CNN has learned that at least 5 pilots in the US reported problems controlling Boeing 737 Max 8 jets durin\xe2\x80\xa6'
2019-03-18 09:54:55,"b'RT @AirportWatch: 737 Max-8: ""fears that advanced avionic technology intended to make planes safer has become too complicated for pilots to\xe2\x80\xa6'"
2019-03-18 09:53:47,b'RT @AFP: VIDEO: Similarities between the Lion Air and Ethiopian Airlines crashes have focused attention on an anti-stalling system used in\xe2\x80\xa6'
2019-03-18 09:53:29,b'US Agencies reportedly probing flaws in development and FAA certification process of Being 737 Max 8 airliner invol\xe2\x80\xa6 https://t.co/H2jg4nPWEd'
2019-03-18 09:53:10,"b'Boeing and FAA Oversight of the 737 MAX 8 Was Flawed, Report Says https://t.co/aNak725RJY'"
2019-03-18 09:53:04,b'Boeing and FAA Oversight of the 737 MAX 8 Was Flawed: Report https://t.co/q0jh4N8KtF https://t.co/aWHyadJwgn'
2019-03-18 09:52:46,b'@HeraldZimbabwe @JonesMusara Tell your boss that we have a present for him (Boeing 737 Max 8 ) its a new one'
2019-03-18 09:51:12,b'RT @AFP: VIDEO: Similarities between the Lion Air and Ethiopian Airlines crashes have focused attention on an anti-stalling system used in\xe2\x80\xa6'
2019-03-18 09:51:02,b'How #Investigators Pull #Data off a #Boeing737\xe2\x80\x99s #BlackBoxes @Wired  https://t.co/qDcwdgyHDy https://t.co/3OJA21clyF'
2019-03-18 09:49:04,b'RT @Ali_Manzu: Ethiopian authorities say black box data from crashed Boeing 737-8 MAX plane shows clear similarities to Indonesia crash.'
2019-03-18 09:47:39,"b'RT @4everNeverTrump: @mattyglesias Also, our unconfirmed Acting Defense Secretary just happens to be a former executive of Boeing... which\xe2\x80\xa6'"
2019-03-18 09:47:36,b'RT @AFP: What is the MCAS system on the Boeing 737 Max 8?https://t.co/lTBtKWQbUG https://t.co/m4lhsprMfm'
2019-03-18 09:47:22,"b""It's been all over the news recently with the crash of the BOEING 737 Max 8 in Ethiopia: AIRBORNE.  Let's hope we'l\xe2\x80\xa6 https://t.co/aTnTR76PLg"""
2019-03-18 09:46:57,"b'""Black box indicates \'clear similarities\' between two fatal Boeing 737 MAX 8 crashes""  https://t.co/bbmdmYsNoc'"
2019-03-18 09:46:39,b'RT @TheAtlantic: .@jamesfallows talks to a highly experienced pilot about the problem with the Boeing 737 Max 8: https://t.co/2E3R7gDaEk'
2019-03-18 09:46:03,"b'RT @nytimes: A piece of the Boeing 737 Max 8 jet that crashed suggests the plane was forced into a descent, a similarity with the Lion Air\xe2\x80\xa6'"
2019-03-18 09:42:34,b'RT @Captsully: A redesign of the Boeing 737 MAX 8 is urgently needed\xe2\x80\x93proposed changes don\xe2\x80\x99t go far enough. With reports Ethiopian 302 first\xe2\x80\xa6'
2019-03-18 09:42:19,"b'RT @SophieRunning: In total 346 passengers have died in Boeing 737 Max 8 aircraft. In response the UK, EU, US, Canada, China, India, Austra\xe2\x80\xa6'"
2019-03-18 09:40:22,b'New item on TRAN Committee site: Highlights - Exchange of views with EASA on Boeing 737 MAX 8 - Committee on Transp\xe2\x80\xa6 https://t.co/cQzQbxVaHD'
2019-03-18 09:37:38,"b'RT @SophieRunning: In total 346 passengers have died in Boeing 737 Max 8 aircraft. In response the UK, EU, US, Canada, China, India, Austra\xe2\x80\xa6'"
2019-03-18 09:34:58,"b'""Black box indicates \'clear similarities\' between two fatal Boeing 737 MAX 8 crashes""  https://t.co/LyACvubRQf'"
2019-03-18 09:34:24,"b'@clubantietam @reedfrich @seattletimes @joshtpm @JamesFallows \nNo. I suspect you are not a pilot, but operation of\xe2\x80\xa6 https://t.co/E3IewCeGQW'"
2019-03-18 09:31:43,b'Ethiopian airline\nBoeing 737-8 Max.\nVerry disturbing po https://t.co/FBf5GeKrsN'
2019-03-18 09:29:42,b'RT @ARGS_EVA: Boeing CEO says US manufacturer is working with authorities on 737 Max 8 crash https://t.co/2Dlq3TFRME'
2019-03-18 09:25:13,b'Ethiopia crash of Boeing 737 Max might be latest example of backfiring safety efforts - USA TODAY https://t.co/hI1XT0xfmY'
2019-03-18 09:23:33,"b'RT @4everNeverTrump: @mattyglesias Also, our unconfirmed Acting Defense Secretary just happens to be a former executive of Boeing... which\xe2\x80\xa6'"
2019-03-18 09:23:04,b'https://t.co/oHdIX8HcxZ open bokep diblokir news Factbox: What we know about Boeing 737 MAX crash and what comes ne\xe2\x80\xa6 https://t.co/b8J7C9T582'
2019-03-18 09:22:50,"b'RT @4everNeverTrump: @mattyglesias Also, our unconfirmed Acting Defense Secretary just happens to be a former executive of Boeing... which\xe2\x80\xa6'"
2019-03-18 09:20:10,"b'AI Safety, Leaking Abstractions and Boeing\xe2\x80\x99s 737 Max 8 https://t.co/SUguESzt56 #ML #AI https://t.co/tB4W6KBMZW'"
2019-03-18 09:16:28,"b""RT @alykhansatchu: It is also an incredible statement by @flyethiopian to send the Aircraft's Black Box not to the FAA but to France. Thats\xe2\x80\xa6"""
2019-03-18 09:16:25,"b'RT @4everNeverTrump: @mattyglesias Also, our unconfirmed Acting Defense Secretary just happens to be a former executive of Boeing... which\xe2\x80\xa6'"
2019-03-18 09:12:30,b'RT @DailyMonitor: Similarities between the Lion Air and Ethiopian Airlines crashes have focused attention on an anti-stalling system used i\xe2\x80\xa6'
2019-03-18 09:12:08,"b""RT @alykhansatchu: It is also an incredible statement by @flyethiopian to send the Aircraft's Black Box not to the FAA but to France. Thats\xe2\x80\xa6"""
2019-03-18 09:11:52,"b""RT @alykhansatchu: It is also an incredible statement by @flyethiopian to send the Aircraft's Black Box not to the FAA but to France. Thats\xe2\x80\xa6"""
2019-03-18 09:10:21,"b'RT @SophieRunning: In total 346 passengers have died in Boeing 737 Max 8 aircraft. In response the UK, EU, US, Canada, China, India, Austra\xe2\x80\xa6'"
2019-03-18 09:10:12,b'Boeing shares hit after second 737 Max 8 crash. Investors show their concern after the loss of 157 lives in Ethiopi\xe2\x80\xa6 https://t.co/8XQeDOO4Xa'
2019-03-18 09:09:23,b'Ethiopian Airlines crash: What is the MCAS system on the Boeing 737 Max 8? https://t.co/OZ0DYjYhCw'
2019-03-18 09:08:49,"b""RT @alykhansatchu: It is also an incredible statement by @flyethiopian to send the Aircraft's Black Box not to the FAA but to France. Thats\xe2\x80\xa6"""
2019-03-18 09:08:38,b'RT @AndrewPollackFL: Just one plane crash in a foreign country for our government to #FixIt.\n\nAt home our government continues to drag its\xe2\x80\xa6'
